s	deflist
sf:activehumanoccupationsite	sampled feature is a site at which there are ongoing human activities
sf:anthropogenicenvironment	Sampled feature is produced by or related to human activity past or present.
sf:anysampledfeature	Any thing that can be sampled. Top concept in sampled feature type vocabulary.
sf:atmosphere	Sampled feature is the Earth's atmosphere
sf:biologicalentity	Sampled feature is an organism. Use for samples that represent some species of organism as the proximate sampled feature, not the environment that the organism inhabits.
sf:earthenvironment	Sampled feature is the natural Earth environment
sf:earthinterior	Geologic environments within the solid Earth.
sf:earthsurface	Sampled feature is the interface between solid earth and hydrosphere or atmosphere. Includes samples representing things collected on the surface, in the uppermost part of the material below the surface, or air or water directly at the contact with the Earth surface.  Hierarchy presented here is based on assumption that a particular setting may be specified by a combination of a climatic setting with one or more process or geomorphic- or physiographic- defined settings.
sf:experimentsetting	Sampled feature is an experimental set up that produced the sample; the sample is the product of the experiment.
sf:extraterrestrialenvironment	Sampled feature is the environment outside of solid earth, hydrosphere, or atmosphere.
sf:glacierenvironment	Earth surface setting with geography defined by spatial relationship to glaciers (e.g. on top of a glacier, next to a glacier, in front of a glacier...). Processes related to moving ice dominate sediment transport and deposition and landform development. Includes subaqueous, shoreline, and terrestrial settings that are impacted by the presence of glaciers. Considered a geographically defined setting in that a glacier is a geographic feature.  Includes glacier, ice sheet, ice shelf, iceberg, or rock or water directly under or on top of such ice.
sf:laboratorycuratorialenvironment	Sampled feature is a laboratory or other research site, collected with intention of characterizing the environment in which data are collected or other research conducted, that might affect results or safety; e.g. lab blank measurements.
sf:lakeriverstreambottom	Sampled feature is the interface between the solid Earth interface and a lake or flowing water body.
sf:marinewaterbody	Sampled feature is the marine hydrosphere.
sf:marinewaterbodybottom	Sampled feature is the interface between the solid Earth and a marine or brackish water body.  Includes benthic boundary layer: the bottom layer of water and the uppermost layer of sediment directly influenced by the overlying water.
sf:pasthumanoccupationsite	sampled feature is a place where humans have been and left evidence of their activity. Includes prehistoric and paleo hominid sites
sf:subaerialsurfaceenvironment	Setting at the interface between the solid earth and the atmosphere, includes some shallow subaqueous settings in river channels and playas. Characterized by conditions and processes, such as erosion, that exist or operate in the open air on or immediately adjacent to the land surface
sf:subsurfacefluidreservoir	Sampled feature is fluid that resides in fractures, intergranular porosity or other open space in the solid earth.
sf:terrestrialwaterbody	Sampled feature is terrestrial hydrosphere-- lake, other standing water, or a flowing water body (river, stream..). Include saline water in terrestrial evaporite environments.
sf:waterbody	Sampled feature is the Earth's hydrosphere.
sessf:abandoned_channel	A drainage channel along which runoff no longer occurs, as on an alluvial fan
sessf:above_carbonate_compensation_depth	Marine environment in which carbonate sediment does not dissolve before reaching the sea floor and can accumulate.
sessf:abyssal_plain	Near flat areas of ocean floor, slope less than 1:1000, generally receive only distal turbidite and pelagic sediments.
sessf:abyssal_setting	The ocean environment at water depths between 3500 and 6000 metres
sessf:active_continental_margin	A plate boundary between continental and oceanic crust that is a zone of active faulting, i.e. a transform fault or subduction zone.
sessf:active_ocean_ridge	Ocean highland associated with a divergent continental margin (spreading center). Setting is characterized by active volcanism, locally steep relief, hydrothermal activity, and pelagic sedimentation.
sessf:agricultural_site	Site involved in crop cultivation, livestock production, aquaculture, or forestry to produce food or non-food products.
sessf:algal_flat	Modern algal flats are found on rock or mud in areas flooded only by the highest tides and are often subject to high evaporation rates. Algal flats survive only when an area is salty enough to eliminate snails and other herbivorous animals that eat algae, yet is not so salty that the algae cannot survive. The most common species of algae found on algal flats are blue-green algae of the genera Scytonema and Schizothrix. These algae can tolerate the daily extremes in temperature and oxygen that typify conditions on the flats. Other plants sometimes found on algal flats include one-celled green algae, flagellates, diatoms, bacteria, and isolated scrubby red and black mangroves, as well as patches of saltwort. Animals include false cerith, cerion snails, fiddler crabs, and great land crabs. Flats with well developed algal mats are restricted for the most part to the Keys, with Sugarloaf and Crane Keys offering prime examples of algal flat habitat. (Audubon, 1991)
sessf:alkalic_igneous_complex	Intrusive and extrusive igneous rock suites with unusual alkalic or alkaline composition.
sessf:alluvial_fan	A low, outspread, relatively flat to gently sloping mass of loose rock material, shaped like an open fan or a segment of a cone, deposited by a stream (esp. in a semiarid region) at the place where it issues from a narrow mountain valley upon a plain or broad valley, or where a tributary stream is near or at its junction with the main stream, or wherever a constriction in a valley abruptly ceases or the gradient of the stream suddenly decreases, it is steepest near the mouth of the valley where its apex points upstream, and it slopes gently and convexly outward with gradually decreasing gradient
sessf:alluvial_plain	An assemblage landforms produced by alluvial and fluvial processes (braided streams, terraces, etc.) that form low gradient, regional ramps along the flanks of mountains and extend great distances from their sources (e.g.high Plains of North America). (NRCS GLOSSARY OF LANDFORM AND GEOLOGIC TERMS). A level or gently sloping tract or a slightly undulating land surface produced by extensive deposition of alluvium... Synonym-- wash plain,...river plain, aggraded valley plain,... (Jackson, 1997, p. 17). May include one or more River plain systems.
sessf:anoxic_environment	Environment depleted in oxygen, typically subaqueous.
sessf:aquifer	A body of porous and permeable Earth Material containing interstitial water that can move through the material.
sessf:arch_natural_formation	A landform consting of rock in a curved symmetrical structure that spans an opening and support the weight of the rock above the opening.
sessf:arid_or_semi_arid_environment	Setting characterized by mean annual precipitation of 10 inches (25 cm) or less. (Jackson, 1997, p. 172). Equivalent to SLTT 'Desert setting', but use 'Arid' to emphasize climatic nature of setting definition.
sessf:axial_valley	A linear depression along the crest of an active ocean ridge spreading center.
sessf:back_arc_setting	Tectonic setting adjacent to a volcanic arc formed above a subduction zone. The back arc setting is on the opposite side of the volcanic arc from the trench at which oceanic crust is consumed in a subduction zone. Back arc setting includes terrane that is affected by plate margin and arc-related processes.
sessf:backreef	The landward side of a reef. The term is often used adjectivally to refer to deposits within the restricted lagoon behind a barrier reef, such as the back-reef facies of lagoonal deposits. In some places, as on a platform-edge reef tract, back reef refers to the side of the reef away from the open sea, even though no land may be nearby
sessf:badlands	A dry terrain where soft sedimentary rock and clay-rich soils have been extensively eroded, characterized by steep slopes, minimal vegetation, lack of a substantial regolith, and high drainage density.
sessf:barrier_beach	A narrow, elongate sand or gravel ridge rising slightly above the high-tide level and extending generally parallel with the shore, but separated from it by a lagoon (Shepard, 1954, p.1904), estuary, or marsh, it is extended by longshore transport and is rarely more than several kilometers long.
sessf:barrier_island_coastline	setting meant to include all the various geographic elements typically associated with a barrier island coastline, including the barrier islands, and geomorphic/geographic elements that are linked by processes associated with the presence of the island (e.g. wash over fans, inlet channel, back barrier lagoon).
sessf:barrier_lagoon	A lagoon that is roughly parallel to the coast and is separated from the open ocean by a strip of land or by a barrier reef. Tidal influence is typically restricted and the lagoon is commonly hypersaline.
sessf:basin	landform sunken or depressed below the surrounding area
sessf:bathyal_setting	The ocean environment at water depths between 200 and 3500 metres
sessf:bay	An area of water bordered by land on three sides.
sessf:beach	The unconsolidated material at the shoreline that covers a gently sloping zone, typically with a concave profile, extending landward from the low-water line to the place where there is a definite change in material or physiographic form (such as a cliff), or to the line of permanent vegetation (usually the effective limit of the highest storm waves), at the shore of a body of water, formed and washed by waves or tides, usually covered by sand or gravel, and lacking a bare rocky surface.
sessf:below_carbonate_compensation_depth_setting	Marine environment in which water is deep enough that carbonate sediment goes into solution before it can accumulate on the sea floor.
sessf:bight	a concave bend or curvature in a coastline forming a very open bay
sessf:biological_reef	A ridgelike or moundlike structure, layered or massive, built by sedentary calcareous organisms, esp. corals, and consisting mostly of their remains, it is wave-resistant and stands topographically above the surrounding contemporaneously deposited sediment.
sessf:bog	Waterlogged, spongy ground, consisting primarily of mosses, containing acidic, decaying vegetation that may develop into peat.
sessf:braided_channel	A stream that divides into or follows an interlacing or tangled network of several small branching and reuniting shallow channels separated from each other by ephemeral branch islands or channel bars, resembling in plan the strands of a complex braid. Such a stream is generally believed to indicate an inability to carry all of its load, such as an overloaded and aggrading stream flowing in a wide channel on a floodplain
