primary_location_type,count,type
 Abyssal Hill Province,362,name
 Bermuda Rise,59,name
 Harbour,4,type
 Mountain,1,type
 Sohm’s Abyssal Plain,52,name
 tile drain,1,type
 Transverse Ridge,101,?
 uplift of magma or volcanoes,6,?
"""Tree""",3,type
"(Volcano) Seamount on axis- ""The Hump""",1,name
~ 1400 ft south of the Nut Island Shaft at the north end of the the Braintree Weymouth Tunnel,2,location
"~1.2 km W. of Clayton, N. of HWY 75, up talus slope",1,location
~400 m west of North Peak,1,"name, location"
~570 mi. ENE of Samoa.,1,location
~580 mi. ENE of Somoa.,1,location
~630 mi. WNW of Tahiti-S. Pacific.,1,location
~650 mi. WNW of Tahiti - S.Pacific.,1,location
>35 degree slope on far NE corner of Chukchi Plateau near Healy Seamount. Seismic lines from HLY0503 shows feature to be normal fault scarp,53,"type, name"
>40 degree slope near top of normal fault block imaged in seismic profile from HLY0503.  West of Northwind Ridge near top of fault scarp.  Target 750m water depth.,34,type
>40 degree slope on smal fault block along the Northwind Escarpment.  Feature is triangular shaped salient between larger normal fault segments.,37,name
>50 degree slope on fault scarp on southern edge of Nautilus Basin,11,name
290° W. of Cape St. George ~ 20 mi.,1,"name, location"
300 m high volcanic cone in axial rift,18,type
4° N Fracture Zone.,1,name
400 m high volcano just north of intersection w/Lena Trough,23,"type,location"
40m high ridge N of split volcano,1,type
"60 mi. NW. of Livingston Is., S. Shetland.",1,location
60m high nose in center of rift valley,1,type
90-E. Ridge.,1,name
abyssal feature,180,type
Abyssal feature,18,type
Abyssal Feature,9,type
abyssal hill,1,type
Abyssal hills,83,type
abyssal plain,19,type
Abyssal plain,348,type
Active Fault,131,type
Active fault trace,49,type
Active vent field,44,type
Agricultural Field,15,type
Agricultural Field ,45,type
Agricultural water reservoir,128,type
Agulhas Plateau,1,name
Agulhas Plateau.,1,name
"Alboran Ridge- Tofino Bank, hummocky",1,name
Alkali basalt flow,19,type
Alkaline Complex,17,type
Allula-Fartak Fracture Zone (Trench).,1,name
Allula-Fratak Trench S. end.,1,name
Along Squaw Creek road,1,location
"Along Squaw Creek, in Clayton Quadrangle",1,location
Alula-Fartak Trench-Southern end.,1,name
Alula-Fartak Trench (F.Z),1,name
"Alula-Fartak Trench, N. extremity.",1,name
Alula-Fartak Trench.,3,name
Alula Fracture Zone. (Gulf of Aden).,1,name
Amaghino Canyon-W. of Argentine Basin.,1,name
Antarctic Continental slope off Anvers Is.,1,"type, name"
Antartic Continental Shelf off S. Shettland Is.,1,"type,na"
Antartic Shelf off Anvers Is. Palmer Peninsula.,1,"type, name"
anthropogenic,3,type
Anticline,2,type
Antigonish Highlands,4,name
aquifer,2,type
Arc Volcano,213,type
arch,27,type
Archean Basement ,2,type
Archipelagic apron,89,type
Arctic Tundra,166,type
Aregntine Continental Slope.,1,name
Argentine Continental Shelf off La Plata River.,2,name
Argentine Continental Shelf off Magellan Strait.,1,name
Argentine Continental Shelf off Point Deseado.,2,name
Argentine Continental Slope,1,name
Argentine Continental slope off Point Deseado.,1,name
Argentine Continental Slope.,6,name
Argentine Seamount.,1,name
Aseismic rise or ridge,731,type
ash atop Weiser basalt,1,geologic unit
Atlantic-Indian Ridge,1,name
atoll,116,type
Atoll,2,type
"atoll
",1,type
Atop Vema Seamount-off S.E. Africa.,1,name
Augusta Escarp. E Mediter.,1,name
Augusta Escarp. E. Mediter.,1,name
Auplia Escarp. Embayment on N. side.,1,name
"Aureka volcanic ridge, north of Ra smt, on Ngatemato volcanic line.",1,"name, location"
axial valley,19,type
Axial valley,308,type
axial valley volcano adjacent to fracture zone,1,type
axial volcanic field NW of split volcanic ridge,33,"type, location"
Ayu Trough.,1,name
Back-Arc Basin Volcano,13,type
back-arc ridge,24,type
Back Arc,37,type
backarc basin spreading center,5,type
backarc ridge,27,type
backarc spreading center,56,type
BackarcBasin,522,type
backslope,363,type
Backslope,261,type
Baffin Island,10,name
Baja California Seamount Province.,1,name
bank,53,type
bank (hydrographic),185,type
"Barren Basin, Albany–Fraser Orogen",1,name
barrier island,105,type
Barrier Reef on ocean island volcano,65,type
Basalt flow,34,type
base of cinder cone,2,type
base of N wall of axial valley,24,type
base of N wall of rift valley,154,type
Base of N wall of rift valley,58,type
base of N wall of rift valley W of axial  volcanic high,36,type
base of Plateau basalts,2,type
base of rift valley N wall,27,type
base of rift valley NW wall,34,type
base of S wall of rift valley,147,type
base of slope,1,type
base to mid-section of headwall of septum between ridge sections,83,type
Basement High; W. Agulhas Plateau.,1,name
basin,562,type
Basin,160,type
Basin & Range desert basin,623,type
Basin SE. of Marcus- Nocker Ridge.,1,"type, location"
Basin south of two branches of Indian Ridges.,1,"type, location"
Bass Straits-S. Australia.,1,name
Bass Straits - East End.,1,name
batholith,3,type
Bathyal Slope E. of Falklans,1,"type, location"
Bathyal Slope of Argentine Basin.,1,"type, name"
