s	label	def	source	parent
rksd:Dacite	dacite	Fine grained or porphyritic crystalline rock that contains less than 90 percent mafic minerals, between 20 and 60 percent quartz in the QAPF fraction, and has a plagioclase to total feldspar ratio greater than 0.65. Includes rocks defined modally in QAPF fields 4 and 5 or chemically in TAS Field O3. Typically composed of quartz and sodic plagioclase with minor amounts of biotite and/or hornblende and/or pyroxene; fine-grained equivalent of granodiorite and tonalite.	LeMaitre et al. 2002	rksd:Acidic_Igneous_Rock
rksd:Granitoid	granitoid	Phaneritic crystalline igneous rock consisting of quartz, alkali feldspar and/or plagioclase. Includes rocks defined modally in QAPF fields 2, 3, 4 and 5 as alkali feldspar granite, granite, granodiorite or tonalite.	LeMaitre et al. 2002	rksd:Acidic_Igneous_Rock
rksd:Quartz_Rich_Igneous_Rock	quartz rich igneous rock	Phaneritic crystalline igneous rock that contains less than 90 percent mafic minerals and contains greater than 60 percent quartz in the QAPF fraction.	Gillespie and Styles 1999; LeMaitre et al. 2002	rksd:Acidic_Igneous_Rock
rksd:Rhyolitoid	rhyolitoid	fine_grained_igneous_rock consisting of quartz and alkali feldspar, with minor plagioclase and biotite, in a microcrystalline, cryptocrystalline or glassy groundmass. Flow texture is common. Includes rocks defined modally in QAPF fields 2 and 3 or chemically in TAS Field R as rhyolite. QAPF normative definition is based on modal mineralogy thus: less than 90 percent mafic minerals, between 20 and 60 percent quartz in the QAPF fraction, and ratio of plagioclse to total feldspar is less than 0.65.	LeMaitre et al. 2002	rksd:Acidic_Igneous_Rock
sesrs:Boninite	boninite	andesitic rock that contains more than 8 percent MgO. Typically consists of phenocrysts of protoenstatite, orthopyroxene, clinopyroxene, and olivine in a glassy base full of crystallites, and exhibits textures characterisitc of rapid crystal growth.	LeMaitre et al. 2002	rksd:Andesite
sesrs:Anorthosite	anorthosite	Anorthositic rock that contains between 0 and 5 percent quartz and no feldspathoid mineral in the QAPF fraction. QAPF field 10.	LeMaitre et al. 2002	rksd:Anorthositic_Rock
sesrs:Foid_Bearing_Anorthosite	foid bearing anorthosite	Anorthositic rock that contains between 0 and 10 percent feldspathoid mineral and no quartz in the QAPF fraction. QAPF field 10'.	LeMaitre et al. 2002	rksd:Anorthositic_Rock
sesrs:Quartz_Anorthosite	quartz anorthosite	Anorthositic rock that contains between 5 and 20 percent quartz in the QAPF fraction. QAPF field 10*.	LeMaitre et al. 2002	rksd:Anorthositic_Rock
sesrs:Alkali-Olivine_Basalt	alkali olivine basalt	Alkali olivine basalt is silica-undersaturated, characterized by the absence of orthopyroxene, absence of quartz, presence of olivine, and typically contains some feldspathoid mineral, alkali feldspar or phlogopite in the groundmass. Feldspar phenocrysts typically are labradorite to andesine in composition. Augite is rich in titanium compared to augite in tholeiitic basalt. Alkali olivine basalt is relatively rich in sodium.	http://en.wikipedia.org/wiki/Basalt; Carmichael, I.S. Turner, F.J., Verhoogen, John, 1974, Igneous petrology: New York, McGraw HIll Book Co., p.42-43.	rksd:Basalt
sesrs:Tholeiitic_Basalt	tholeiitic basalt	Tholeiitic basalt is defined here to contain 2 pyroxene phases and interstitial quartz or tridymite or cristobalite in the groundmass. Pyroxene (augite and orthopyroxene or pigeonite) and calcium-rich plagioclase are common phenocryst minerals. Olivine may also be a phenocryst, and when present, may have rims of pigeonite. Only in tholeiitic basalt is olivine in reaction relationship with melt. Interstitial siliceous residue may be present, and is often glassy. Tholeiitic basalt is relatively poor in sodium. This category includes most basalts of the ocean floor, most large oceanic islands, and continental flood basalts such as the Columbia River Plateau.	http://en.wikipedia.org/wiki/Basalt; Carmichael, I.S. Turner, F.J., Verhoogen, John, 1974, Igneous petrology: New York, McGraw HIll Book Co., p.42-43.	rksd:Basalt
rksd:Basalt	basalt	Fine-grained or porphyritic igneous rock with less than 20 percent quartz, and less than 10 percent feldspathoid minerals, in which the ratio of plagioclase to total feldspar is greater 0.65. Typically composed of calcic plagioclase and clinopyroxene; phenocrysts typically include one or more of calcic plagioclase, clinopyroxene, orthopyroxene, and olivine. Includes rocks defined modally in QAPF fields 9 and 10 or chemically in TAS field B as basalt. Basalt and andesite are distinguished chemically based on silica content, with basalt defined to contain less than 52 weight percent silica. If chemical data are not available, the color index is used to distinguish the categories, with basalt defined to contain greater than 35 percent mafic minerals by volume or greater than 40 percent mafic minerals by weight.	after LeMaitre et al. 2002	rksd:Basic_Igneous_Rock
rksd:Gabbroic_Rock	gabbroic rock	Gabbroid that has a plagioclase to total feldspar ratio greater than 0.9 in the QAPF fraction. Includes QAPF fields 10*, 10, and 10'. This category includes the various categories defined in LeMaitre et al. (2002) based on the mafic mineralogy, but apparently not subdivided based on the quartz/feldspathoid content.	LeMaitre et al. 2002	rksd:Basic_Igneous_Rock
sesrs:ooze	ooze	Biogenic sediment consisting of less than 1 percent gravel-size (greater than or equal to 2 mm) particles, with a sand to mud ratio less than 1 to 9, and less than 50 percent carbonate minerals.	based on Bates and Jackson 1987 and Hallsworth and Knox 1999	rksd:Biogenic_Sediment
sesrs:organic_rich_sediment	organic rich sediment	Sediment with color, composition, texture and apparent density indicating greater than 50 percent organic content by weight on a moisture-free basis.	SLTTs 2004	rksd:Biogenic_Sediment
sesrs:calcareous_carbonate_sediment	calcareous carbonate sediment	Carbonate sediment with a calcite (plus aragonite) to dolomite ratio greater than 1 to 1. Includes lime-sediments.	after Hallsworth and Knox 1999	rksd:Carbonate_Sediment
sesrs:carbonate_mud	carbonate mud	Carbonate sediment composed of less than 25 percent clasts that have a maximum diameter more than 2 mm, and the ratio of sand size to mud size clasts is less than one.	follow pattern used for clastic sand and mud categories, based on SLTTs 2004	rksd:Carbonate_Sediment
sesrs:dolomitic_sediment	dolomitic sediment	Carbonate sediment with a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1.	after SLTTs 2004, Hallsworth and Knox 1999	rksd:Carbonate_Sediment
sesrs:impure_carbonate_sediment	impure carbonate sediment	Carbonate sediment in which between 50 and 90 percent of the constituents are composed of one (or more) of the carbonate minerals in particles of intrabasinal origin.	This vocabulary	rksd:Carbonate_Sediment
sesrs:pure_carbonate_sediment	pure carbonate sediment	Carbonate sediment in which greater than 90 percent of the constituents are composed of one (or more) of the carbonate minerals in particles of intrabasinal origin.	This vocabulary	rksd:Carbonate_Sediment
sesrs:boundstone	boundstone	Sedimentary carbonate rock with preserved biogenic texture, whose original components were bound and encrusted together during deposition by the action of plants and animals during deposition, and remained substantially in the position of growth.	Hallsworth and Knox 1999; SLTTs 2004	rksd:Carbonate_Sedimentary_Rock
sesrs:calcareous_carbonate_sedimentary_rock	calcareous carbonate sedimentary rock	Carbonate sedimentary rock with a calcite (plus aragonite) to dolomite ratio greater than 1 to 1. Includes limestone and dolomitic limestone.	SLTTs 2004; Hallsworth and Knox 1999	rksd:Carbonate_Sedimentary_Rock
sesrs:carbonate_mudstone	carbonate mudstone	Mudstone that consists of greater than 50 percent carbonate minerals of any origin in the mud size fraction.	This vocabulary	rksd:Carbonate_Sedimentary_Rock
sesrs:carbonate_wackestone	carbonate wackestone	Carbonate sedimentary rock with discernible mud supported depositional texture and containing greater than 10 percent allochems, and constituent particles are of intrabasinal origin. If particles are not intrabasinal, categorization as a mudstone or wackestone should be considered.	Dunham 1962	rksd:Carbonate_Sedimentary_Rock
sesrs:crystalline_carbonate	crystalline carbonate	Carbonate rock of indeterminate mineralogy in which diagenetic processes have obliterated any original depositional texture.	SLTTs 2004	rksd:Carbonate_Sedimentary_Rock
sesrs:dolomitic_or_magnesian_sedimentary_rock	dolomitic or magnesian sedimentary rock	Carbonate sedimentary rock with a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1. Includes dolostone, lime dolostone and magnesite-stone.	after SLTTs 2004, Hallsworth and Knox 1999	rksd:Carbonate_Sedimentary_Rock
sesrs:framestone	framestone	Carbonate reef rock consisting of a rigid framework of colonies, shells or skeletons, with internal cavities filled with fine sediment; usually created through the activities of colonial organisms.	Hallsworth and Knox 1999; SLTTs 2004, Table 15-3-1	rksd:Carbonate_Sedimentary_Rock
sesrs:grainstone	grainstone	Carbonate sedimentary rock with recognizable depositional fabric that is grain-supported, and constituent particles are of intrabasinal origin; contains little or no mud matrix. Distinction from sandstone is based on interpretation of intrabasinal origin of clasts and grain-supported fabric, but grainstone definition does not include a grain size criteria.	Dunham 1962	rksd:Carbonate_Sedimentary_Rock
sesrs:impure_carbonate_sedimentary_rock	impure carbonate sedimentary rock	Sedimentary rock in which between 50 and 90 percent of the primary and/or recrystallized constituents are composed of carbonate minerals.	This vocabulary	rksd:Carbonate_Sedimentary_Rock
sesrs:packstone	packstone	Carbonate sedimentary rock with discernible grain supported depositional texture, containing greater than 10 percent grains, and constituent particles are of intrabasinal origin; intergranular spaces are filled by matrix.	Hallsworth and Knox 1999	rksd:Carbonate_Sedimentary_Rock
sesrs:pure_carbonate_sedimentary_rock	pure carbonate sedimentary rock	Sedimentary rock in which greater than 90 percent of the primary and/or recrystallized constituents are carbonate minerals.	This vocabulary	rksd:Carbonate_Sedimentary_Rock
sesrs:evaporite	Evaporite	Nonclastic sedimentary rock composed of at least 50 percent non-carbonate salts, including chloride, sulfate or borate minerals; formed through precipitation of mineral salts from a saline solution (non-carbonate salt rock).	Jackson 1997; SLTTs 2004	rksd:Chemical_Sedimentary_Material
sesrs:iron_rich_sedimentary_material	Iron rich sedimentary material	Sedimentary material of unspecified consolidation state that consists of at least 50 percent iron-bearing minerals (hematite, magnetite, limonite-group, siderite, iron-sulfides), as determined by hand-lens or petrographic analysis. Corresponds to a rock typically containing 15 percent iron by weight.	SLTTs 2004	rksd:Chemical_Sedimentary_Material
sesrs:manganese_rich_sedimentary_material	Manganese rich sedimentary material	Sedimentary material of unspecified consolidation state that consists of at least 50 percent manganese-bearing minerals, as determined by hand-lens or petrographic analysis.		rksd:Chemical_Sedimentary_Material
sesrs:sedimentary_massive_sulphide	Sedimentary Massive Sulphide	rock consisting of greater than 50% sulphide or sulfosalt minerals formed by sedimentary exhalative processes.	smr provisional 2020-06-07	rksd:Chemical_Sedimentary_Material
sesrs:travertine	Travertine	Biotically or abiotically precipitated calcium carbonate, from spring-fed, heated, or ambient-temperature water. May be white and spongy, various shades of orange, tan or gray, and ranges to dense, banded or laminated rock. Macrophytes, bryophytes, algae, cyanobacteria and other organisms often colonize the surface of travertine and may be preserved, to produce the porous varieties.	Neuendorf et al. 2005; http://en.wikipedia.org/wiki/Travertine; Chafetz, H.S., and Folk, R.L., 1984, Travertine: Depositional morphology an dthe bacterially constructed constituents: J. Sed. Petrology, v. 126, p.57-74.	rksd:Chemical_Sedimentary_Material
sesrs:clastic_conglomerate	conglomerate	Clastic sedimentary rock composed of at least 30 percent rounded to subangular fragments larger than 2 mm in diameter; typically contains finer grained material in interstices between larger fragments. If more than 15 percent of the fine grained matrix is of indeterminant clastic or diagenetic origin and the fabric is matrix supported, may also be categorized as wackestone. If rock has unsorted or poorly sorted texture with a wide range of particle sizes, may also be categorized as diamictite.	Neuendorf et al. 2005; SLTTs 2004	rksd:Clastic_Sedimentary_Rock
rksd:Diamictite	diamictite	Unsorted or poorly sorted, clastic sedimentary rock with a wide range of particle sizes including a muddy matrix. Biogenic materials that have such texture are excluded. Distinguished from conglomerate, sandstone, mudstone based on polymodality and lack of structures related to transport and deposition of sediment by moving air or water. If more than 10 percent of the fine grained matrix is of indeterminant clastic or diagenetic origin and the fabric is matrix supported, may also be categorized as wacke.	Fairbridge and Bourgeois 1978	rksd:Clastic_Sedimentary_Rock
sesrs:clastic_mudstone	mudstone	Clastic sedimentary rock consisting of less than 30 percent gravel-size (2 mm) particles and with a mud to sand ratio greater than 1.	Pettijohn et al. 1987 referenced in Hallsworth and Knox 1999.	rksd:Clastic_Sedimentary_Rock
sesrs:clastic_sandstone	sandstone	Clastic sedimentary rock in which less than 30 percent of particles are greater than 2 mm in diameter (gravel) and the sand to mud ratio is at least 1.	SLTTs 2004; Neuendorf et al. 2005; particle size from Wentworth grade scale	rksd:Clastic_Sedimentary_Rock
sesrs:anthracite_coal	anthrazit	Coal that has vitrinite mean random reflectance greater than 2.0% (determined in conformance with ISO 7404-5). Less than 12-14 percent volatiles (dry, ash free), greater than 91 percent fixed carbon (dry, ash free basis). The highest rank coal; very hard, glossy, black, with semimetallic luster, semi conchoidal fracture.	Economic commission for Europe, committee on Sustainable Energy- United Nations (ECE-UN), 1998, International Classification of in-Seam Coals: Energy 19, 41 pp; see also Neuendorf et al. 2005; http://en.wikipedia.org/wiki/Coal#Types_of_coal; Eberhard Lindner; Chemie für Ingenieure; Lindner Verlag Karlsruhe, S. 258	rksd:Coal
sesrs:anthracite_coal	anthracite	Coal that has vitrinite mean random reflectance greater than 2.0% (determined in conformance with ISO 7404-5). Less than 12-14 percent volatiles (dry, ash free), greater than 91 percent fixed carbon (dry, ash free basis). The highest rank coal; very hard, glossy, black, with semimetallic luster, semi conchoidal fracture.	Economic commission for Europe, committee on Sustainable Energy- United Nations (ECE-UN), 1998, International Classification of in-Seam Coals: Energy 19, 41 pp; see also Neuendorf et al. 2005; http://en.wikipedia.org/wiki/Coal#Types_of_coal; Eberhard Lindner; Chemie für Ingenieure; Lindner Verlag Karlsruhe, S. 258	rksd:Coal
sesrs:bituminous_coal	bituminous coal	Coal that has vitrinite mean random reflectance greater than 0.6% and less than 2.0% (determined in conformance with ISO 7404-5), or has a gross calorific value greater than 24 MJ/kg (determined in conformance with ISO 1928). Hard, black, organic rich sedimentary rock; contains less than 91 percent fixed carbon on a dry, mineral-matter-free basis, and greater than 13-14 percent volatiles (dry, ash free). Formed from the compaction or induration of variously altered plant remains similar to those of peaty deposits.	Economic commission for Europe, committee on Sustainable Energy- United Nations (ECE-UN), 1998, International Classification of in-Seam Coals: Energy 19, 41 pp; see also http://en.wikipedia.org/wiki/Coal#Types_of_coal; Eberhard Lindner; Chemie für Ingenieure; Lindner Verlag Karlsruhe, S. 258	rksd:Coal
sesrs:lignite	lignite	Coal that has a gross calorific value less than 24 MJ/kg (determined in conformance with ISO 1928), and vitrinite mean random reflectance less than 0.6% (determined in conformance with ISO 7404-5). Gross calorific value is recalculated to a moist, ash free basis using bed moisture (determined according to ISO 1015 or ISO 5068). Includes all low-rank coals, including sub-bitiminous coal. A consolidated, dull, soft brown to black coal having many readily discernible plant fragments set in a finer grained organic matrix. Tends to crack and fall apart on drying. Operationally sub-bituminous and bitiminous coal are qualitatively distinguished based on brown streak for sub-bitiminous coal and black streak for bituminous coal.	Economic commission for Europe, committee on Sustainable Energy- United Nations (ECE-UN), 1998, International Classification of in-Seam Coals: Energy 19, 41 pp.	rksd:Coal
sesrs:Dioritic_Rock	dioritic rock	Phaneritic crystalline rock with M less than 90, consisting of intermediate plagioclase, commonly with hornblende and often with biotite or augite. A dioritoid with a plagioclase to total feldspar ratio (in the QAPF fraction) greater than 0.9. Includes rocks defined modally in QAPF fields 10, 10' and 10*.	LeMaitre et al. 2002	rksd:Dioritoid
sesrs:Monzodioritic_Rock	monzodioritic rock	Phaneritic crystalline igneous rock consisting of sodic plagioclase (An0 to An50), alkali feldspar, hornblende and biotite, with or without pyroxene, and 0 to 10 percent feldspathoid or 0 to 20 percent quartz in the QAPF fraction. Plagioclase to total feldspar ratio in the QAPF fraction is between 0.65 and 0.9. Includes rocks defined modally in QAPF field 9, 9' and 9* as monzodiorite, foid-beaing monzodiorite, and quartz monzodiorite.	This vocabulary; LeMaitre et al. 2002	rksd:Dioritoid
